日時,プロダクト名,問題,X座標,Y座標
20250605101155,シャア専用ザク,欠け,159,101
20250605101155,シャア専用ザク,欠け,160,103
20250605101155,シャア専用ザク,欠け,159,104
20250605101155,シャア専用ザク,欠け,160,107
20250605101155,シャア専用ザク,欠け,158,107
20250605101155,シャア専用ザク,欠け,158,109
20250605101155,シャア専用ザク,欠け,159,112
20250605101155,シャア専用ザク,欠け,135,104
20250605101155,シャア専用ザク,欠け,136,101
20250605101155,シャア専用ザク,欠け,137,104
20250605101155,シャア専用ザク,欠け,192,70
20250605101155,シャア専用ザク,欠け,194,35
20250605101155,シャア専用ザク,欠け,194,30
20250605101155,シャア専用ザク,欠け,199,28
20250605101155,シャア専用ザク,欠け,205,29
20250605101155,シャア専用ザク,欠け,206,33
20250605101155,シャア専用ザク,欠け,251,27
20250605101155,シャア専用ザク,欠け,250,28
20250605101155,シャア専用ザク,欠け,249,26
20250605101155,シャア専用ザク,欠け,248,28
20250605101155,シャア専用ザク,欠け,246,27
20250605101155,シャア専用ザク,欠け,243,27
20250605101155,シャア専用ザク,欠け,234,28
20250605101155,シャア専用ザク,欠け,233,29
20250605101155,シャア専用ザク,欠け,175,67
20250605101155,シャア専用ザク,欠け,204,50
20250605101155,シャア専用ザク,欠け,223,49
20250605101155,シャア専用ザク,欠け,231,41
20250605101155,シャア専用ザク,欠け,179,141
20250605101155,シャア専用ザク,欠け,177,141
20250605101155,シャア専用ザク,欠け,176,142
20250605101155,シャア専用ザク,欠け,174,144
20250605101155,シャア専用ザク,欠け,137,120
20250605101155,シャア専用ザク,欠け,135,122
20250605101155,シャア専用ザク,欠け,76,165
20250605101155,シャア専用ザク,欠け,74,164
20250605101155,シャア専用ザク,欠け,75,163
20250605101155,シャア専用ザク,欠け,89,155
20250605101155,シャア専用ザク,欠け,88,153
20250605101155,シャア専用ザク,欠け,86,152